Name,Street Address,Type,Reviews,No of Reviews,Comments,Price_Range,State,ZipCode,City,weighted_ratings
LongHorn Steakhouse,4805 S Loop 289," American, Steakhouse",4.0,132,"I totally get that I live in the beef capital of the world.   Texas is Best when it comes to beef!  Whether it’s the cut or cooking, Longhorn Steakhouses is tops in beef.   Drop in.  Ask for Ashley, you’ll be glad you did.",$$ - $$$,TX,79424-1675,Lubbock,528.0
Ciao Wood-Fired Pizza & Pasta,2 Hickory Hollow Ln," Italian, Pizza, Vegan Options",4.0,404,"This is your typical American-Italian eatery in that the cuisine is really more American's idea of what Italian food should be like, rather than authentic Italian.

If find most of the dishes pretty blah, although I do appreciate that they use a more flavorful cheese...More",$$ - $$$,NY,14850-1015,Ithaca,1616.0
Oto Sushi,8105 161st Ave NE," Japanese, Sushi, Asian",4.0,46,"I love Oto Sushi.  I go there at least once a week and can not recall ever getting a meal I did not thoroughly enjoy.  The menu is full of elegant and delicious choices.
The prices are great.  The service is immaculate, helpful and not...More",$$ - $$$,WA,98052-3806,Redmond,184.0
La Hacienda,811 S 3rd St," Mexican, Latin, Spanish",4.0,51,"The food here has been everything from terrible (tortilla soup) to wonderful (fajitas). Recently, they also offer Indian food, which is very odd. The best thing on the menu is the CoronaRita. Stick with that and some chips and salsa.",$$ - $$$,WA,98057-2737,Renton,204.0
Utopia,445 E 1st St," Italian, Vegan Options, Vegetarian Friendly",4.5,220,,$$ - $$$,CA,90802-4905,Long Beach,990.0
Jon & Patty's Coffee Bar & Bistro,637 Asbury Ave," American, Cafe, Vegetarian Friendly",4.5,393,"Welcoming and trendy setting with creative twists to even the most basic dish! Great meal, great atmosphere—and the owners and staff couldn’t be more cordial.  Every item is beautifully presented and flavorful. You can stop in for a latte, or a full meal and won’t...More",$$ - $$$,NJ,08226-3859,Ocean City,1768.5
La Cucina Di Mamma,795 Rainbow Blvd," Italian, Vegetarian Friendly, Vegan Options",4.5,545,"When with my daughters and nefew. 
Great food!
Great service!
Great prices!
All home cooked meals.
Friendly waiter.
Small and quaint atmosphere.",$$ - $$$,NY,14303-1313,Niagara Falls,2452.5
Bob's Burgers & Brew,121 N Fair Ave," American, Vegetarian Friendly, Vegan Options",4.0,488,"We found Bob's right next door to our hotel so it was convenient and we didn't have to drive any more that day.  The place was fairly busy but we were seated right away.  I opted for a glass of water, my grandson took on...More",$$ - $$$,WA,98901-4514,Yakima,1952.0
Los Camperos Restaurant,2500 N Expressway," Mexican, Latin",4.0,54,Ate a late lunch. Waiter acted like it was his first day. Very expensive for the quality of food. Don’t order chips because after the first basket you have to pay. The homemade lemonade was great!! I had strawberry my brother had cucumber. Tortilla soup...More,$$ - $$$,TX,78526-4149,Brownsville,216.0
Marianna Ristorante,310 Wells Ave S," Italian, Pizza, Vegetarian Friendly",4.0,95,"I just wanted to give you some feedback regarding my last visit on Thurs 12/26. It was my 30th birthday and I went to you guys because you were my favorite restaurant. 
However I was very disappointed with the service that night and will probably...More",$$ - $$$,WA,98057-2714,Renton,380.0
Catfish Charlie's,5830 McArdle Rd Ste 12," American, Seafood",4.5,379,"Catfish Charlie’s has survived for many years because their food is fresh and tasty, eating their hush puppies is like eating peanuts , it’s hard to stop! Friendly servers, clean place , very reasonable prices , good selection .",$$ - $$$,TX,78412-3472,Corpus Christi,1705.5
What The Pho,1317 228th St SE," Asian, Vietnamese, Vegetarian Friendly",4.0,25,The restaurant is a nice place with good food. The servings of any food are huge but they are tasty. The service is quick and restaurant is clean. The place is worth the money.,$,WA,98021-8400,Bothell,100.0
Duke's Huntington Beach,317 Pacific Coast Hwy," American, Bar, Seafood",4.5,1788,,$$ - $$$,CA,92648-5161,Huntington Beach,8046.0
Antonia's Restaurant,2001 Katy Mills Blvd Ste A," Italian, Vegetarian Friendly, Vegan Options",4.5,314,"My husband and I were in town for the night to run the Katy half marathon the next morning. Not familiar with the area and wanting to carb load, we looked into nearby Italian restaurants. We were pleasantly surprised to find this gem. We had...More",$$ - $$$,TX,77494-4880,Katy,1413.0
True Food Kitchen,395 Santa Monica Pl Ste 172," American, Contemporary, Vegetarian Friendly",4.5,1371,,$$ - $$$,CA,90401-3471,Santa Monica,6169.5
Hugo's Invitados,5240 N O'Connor Blvd," Mexican, Latin, Bar",4.5,44,"Lovely food, got pushed a special which turned out to be $30 more than my original order. So that was a little annoying, $55 for a tiny piece of salmon, a shrimp, one scallops and some fingerling potatoes not worth it. Everything else was tasty...More",$$ - $$$,TX,75039-5714,Irving,198.0
Lynn's Bistro,214 Central Way," French, International, European",4.5,171,"Four of us for dinner.  All of us ordered the seafood ravioli which were like little ethereal pillows.  So good.  Also had seared foie with toast points that was excellent.  Crab cakes are huge, but a bit bland for me.  Someone else had duck with...More",$$ - $$$,WA,98033-6168,Kirkland,769.5
Fadi's Mediterranean Grill,4738 Beechnut St," Mediterranean, Middle Eastern, Vegan Options",4.5,203,In the area on holidays and visited today for dinner. The food was fantastic and the staff were lovely and very patient in explaining how it worked. Would definitely recommend,$$ - $$$,TX,77096-1637,Houston,913.5
Italian Cafe,19620 Kuykendahl Rd," Italian, Vegetarian Friendly",4.5,65,"This is our local go to restaurant as it is always good and served hot! 
 Most restaurants pre-prepare their food and it is not as good as the Italian Cafe.
We have been going there for about 10 years and it has never disappointed us....More",$$ - $$$,TX,77379-3400,Spring,292.5
Island Cafe,250 NE Tomahawk Island Dr," American, Bar, Cafe",4.5,269,"This place is wonderful. We tried it for the first time late this summer and have been there a couple of times now. Friendly staff, great atmosphere (feels like you left the Pacific Northwest for a bit!) and the food is excellent. We went specifically...More",$$ - $$$,OR,97217-7938,Portland,1210.5
Cafe Veloce,12514 120th Ave NE," Italian, Pizza, Vegetarian Friendly",4.5,181,"I really don't enjoy Italian places since I a gluten free, but there are very accommodating.  There is gluten free penne pasta with any of their pasta meals, gluten free pizza crust and knowledgable employees.  I settled on soup and salad, but the rest of...More",$$ - $$$,WA,98034-7501,Kirkland,814.5
Frank Fat's Restaurant,806 L St," Chinese, Asian, Vegetarian Friendly",4.5,368,,$$ - $$$,CA,95814-3693,Sacramento,1656.0
Forno's of Spain Restaurant,47 Ferry St," Seafood, European, Spanish",4.5,783,"This place is like the Tardis of restaurants.  You walk in and it's a nice little bar, but then continue on and there are 3 dining rooms that altogether must hold 200 people.  They have good tapas (great grilled octopus), a full menu (with about...More",$$ - $$$,NJ,07105-1443,Newark,3523.5
Roma D Italia,611 El Camino Real," Italian, Pizza, Vegetarian Friendly",4.5,276,,$$ - $$$,CA,92780-4309,Tustin,1242.0
Rancho Viejo,14201 E Sprague Ave," Mexican, Vegetarian Friendly",4.5,47,Their plates are huge and it was way too much to eat for a dinner. The food was rather bland without a distinctive taste.,$$ - $$$,WA,99216-2108,Spokane Valley,211.5
Stella Barra Pizzeria,2000 Main St," Italian, Pizza, Vegetarian Friendly",4.5,256,,$$ - $$$,CA,90405-1010,Santa Monica,1152.0
Ambrogio15,926 Turquoise St," Italian, Pizza, Wine Bar",5.0,262,,$$ - $$$,CA,92109-1186,San Diego,1310.0
30 Lake,30 Lake Avenue," American, Seafood, Vegetarian Friendly",4.5,182,"This is one of the restaurants high on our list when we moved to the area in 2018, but hadn’t gotten there until tonight.  I read a recent pretty favorable review in the Times Union so the multiple changes in ownership and chef didn’t phase...More",$$ - $$$,NY,12866,Saratoga Springs,819.0
Milt's Coffee Shop,6112 Knudsen Dr," American, Diner, Vegetarian Friendly",4.0,103,,$$ - $$$,CA,93308-2905,Bakersfield,412.0
Maccheroni Republic,332 S Broadway," Italian, Mediterranean, Sicilian",4.5,322,,$$ - $$$,CA,90013-1208,Los Angeles,1449.0
Pj's Pancake House,154 Nassau St," American, International, Vegetarian Friendly",4.0,441,have been to PJ's many times in person and through delivery. Food is always fresh and tasty and very flavorful. Have had all the breakfast items as well as their cheese steak which is great for lunch. Would highly recommend!,$$ - $$$,NJ,08542-7006,Princeton,1764.0
Rainbow Diner Restaurant,849 Route 70," American, Greek, Diner",4.0,262,"We were recently at the Rainbow Diner for dinner.  We have been here many times before.  The food this week was exceptionally good.  The food was delicious, and served nice and hot.  I ordered a seafood dish, which was cooked perfectly.  The bread pudding was...More",$,NJ,08724-2910,Brick,1048.0
Craft & Social,305 E Franklin Ave," American, Bar, Pub",4.5,64,"Cool place, lots of craft beers on tap, no full bat. Limited food but it was good. Staff was awesome,  cozy funky little place.",$$ - $$$,TX,79901-1211,El Paso,288.0
Old European Restaurant,7640 N Division St," German, European, Vegetarian Friendly",4.5,236,"Food was pretty good but it’s unbelievably loud. Felt like a cafeteria with people screaming over one another. Made it hard to have a conversation, which kind of ruined the meal. Acoustics could be fixed. 😒",$$ - $$$,WA,99208-5614,Spokane,1062.0
18 Oaks,23808 Resort Parkway," American, Steakhouse, Gluten Free Options",4.5,350,"This was my 3rd time here for brunch and I will always recommend. Amazing food, great customer service and I had the pleasure of Jacob M being our server he made our dining experience outstanding. Highly recommend",$$$$,TX,78261,San Antonio,1575.0
PITHARI TAVERNA,28 Woodbridge Ave," Mediterranean, Greek, Vegetarian Friendly",4.0,201,"This place has great food. We got our food quickly, staff was friendly, atmosphere casual, and we did not feel rushed at all. Plus the water tastes good.",$$ - $$$,NJ,08904-3234,Highland Park,804.0
Lombardi's Italian Restaurant & Wine Bar,1620 W Marine View Dr," Italian, Vegetarian Friendly, Gluten Free Options",4.0,310,"On a long weekend we decided to go to this restaurant to have a relaxing and quiet lunch. The food was good, we had 3 different appetizers the service was a little overwhelmed overall this is a very goood restaurant",$$ - $$$,WA,98201-2099,Everett,1240.0
Fish Shack,700 E 15th St," American, Seafood",4.5,332,"The fried oysters are legit delicious. Son and I ate here after a wrestling tournament. He finished his entire basket, and mine. The fried shrimp and catfish are excellent too. 
Crowded parking lot, line for counter service kept a steady flow of traffic. Food was...More",$$ - $$$,TX,75074-5712,Plano,1494.0
Denino's Pizzeria & Tavern,524 Port Richmond Ave," Italian, Pizza, Vegetarian Friendly",4.5,805,"Good pizza great wings and fried calamari 
They use semolina and it always burns on the bottom of the pizza but otherwise a pretty good pie",$$ - $$$,NY,10302-1721,Staten Island,3622.5
Le Grand Bistro Americain,2220 Carillon Point," French, Gluten Free Options, Vegetarian Friendly",4.0,238,This is one of my favorite restaurants in KIRKLAND. great view over Carillon marina and Lake Washington. Always had excellent service. Love their French onion soup.,$$ - $$$,WA,98033-7446,Kirkland,952.0
Bobs at the Marina,6639 Embarcadero Dr, Seafood,4.0,23,,$$ - $$$,CA,95219-3329,Stockton,92.0
Daniel,60 East 65th Street," French, Vegetarian Friendly, Vegan Options",4.5,3274,"Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food  is amazing.",$$$$,NY,10065-7056,New York City,14733.0
Poppa Rollo's Pizza,703 N Valley Mills Dr," Italian, Pizza, Vegetarian Friendly",4.0,130,"The pizza was okay, but nothing special. All we had heard was that we HAD to try this place because the pizza was amazing. I'm still not convinced. I ordered a large pizza for takeout and it cost almost $27. The dough was bordering on...More",$$ - $$$,TX,76710-4848,Waco,520.0
Lobster Shop,4015 Ruston Way," American, Seafood, Vegetarian Friendly",4.5,563,We go to Lobster Shop every year for Valentines and it never disappoints. Make sure you book in advance! The taste menu is perfect and the service is even better.,$$$$,WA,98402-5315,Tacoma,2533.5
Houlihan's,491 Route 70," American, Bar, Gluten Free Options",4.0,162,They were not prepared for New Year’s Eve rush. Had reservations for 7 waited 30 minutes before asking what the hold up was. After I complained they sat us. Took 35 minutes before any food arrived. They brought appetizer and main course at same time....More,$$ - $$$,NJ,08723-4049,Brick,648.0
King's Fish House,100 W Broadway," American, Seafood, Soups",4.5,532,,$$ - $$$,CA,90802-4431,Long Beach,2394.0
Ola Mexican Kitchen,21040 Pacific Coast Hwy," Mexican, Southwestern, Vegetarian Friendly",4.0,253,,$$ - $$$,CA,92648-5383,Huntington Beach,1012.0
MIZU Sushi Bar & Grill,1035 S Winchester Blvd," Japanese, Sushi, Asian",4.5,128,,$$ - $$$,CA,95128-3702,San Jose,576.0
Novellis Italian Restaurant,2410 Hamburg Tpke," Italian, Vegetarian Friendly, Vegan Options",4.5,144,Novellis is a really nice classy restaurant. Once I stepped foot into it the owners were very sweet and greeted us very well. We sat at a nice table by the fireplace and our waiter was great! The food was the best part. I truly...More,$$$$,NJ,07470-6226,Wayne,648.0
Mother's Cupboard Fish Fry,3709 James St," American, Diner",4.5,141,"Small little building with some shared tables and a very friendly staff.   Food is amazing and portions are huge.   The Frittata is huge and they have a 6 pound challenge.  Great food, cheap eats.  We try to go there every time we are in Syracuse.",$,NY,13206-2525,Syracuse,634.5
